update	140	2906
update	140	2792
update	140	2793
update	140	2642
update	140	2505
update	1400	13891
update	1400	9761
update	1400	13232
update	1400	8921
update	1400	12077
update	14000	102876
update	14000	108241
update	14000	93713
update	14000	76965
update	14000	112104
update	140000	1184504
update	140000	1141914
update	140000	1174316
update	140000	1123858
update	140000	1185607
update	1400000	13240007
update	1400000	13544130
update	1400000	13316074
update	1400000	12659461
update	1400000	12445768
search	42	2884	database	140
search	42	3067	database	140
search	42	2729	database	140
search	42	3050	database	140
search	42	3000	database	140
search	42	4769	database	140
search	420	495048	database	1400
search	420	494497	database	1400
search	420	496151	database	1400
search	420	486902	database	1400
search	420	479243	database	1400
search	1680	30723596	database	14000
search	1680	32645383	database	14000
search	1680	31106261	database	14000
search	1680	31658698	database	14000
search	1680	30966609	database	14000

search	42	5201	database	140
search	42	4600	database	140
search	42	4929	database	140
search	42	4801	database	140
search	42	4627	database	140
search	420	3955690	database	1400
search	420	4142161	database	1400
search	420	4036078	database	1400
search	420	4095777	database	1400
search	42	4688	database	140
search	42	4526	database	140
search	42	5066	database	140
search	42	4711	database	140
search	42	4700	database	140
search	420	4151231	database	1400
search	420	4236552	database	1400
search	420	4230968	database	1400
search	420	4128788	database	1400
search	420	4040300	database	1400
search	42	799	database	140
search	42	775	database	140
search	42	757	database	140
search	42	747	database	140
search	42	716	database	140
search	420	104500	database	1400
search	420	107370	database	1400
search	420	107871	database	1400
search	420	100562	database	1400
search	420	105149	database	1400
search	1680	5896952	database	14000
search	1680	5751957	database	14000
search	1680	5684371	database	14000
search	1680	5804971	database	14000
search	1680	5908845	database	14000
search	42	5349	database	140
search	42	4776	database	140
search	42	5036	database	140
search	42	4701	database	140
search	42	4580	database	140
search	420	4034136	database	1400
search	420	4096052	database	1400
search	420	4008855	database	1400
search	420	4170724	database	1400
search	420	4209083	database	1400
search	42	4417	database	140
search	42	4408	database	140
search	42	4656	database	140
search	42	4703	database	140
search	42	5562	database	140
search	420	3984115	database	1400
search	420	4040406	database	1400
search	420	4162018	database	1400
search	420	4141360	database	1400
search	420	4026414	database	1400
search	42	4840	database	140
search	42	4441	database	140
search	42	4464	database	140
search	42	4772	database	140
search	42	4492	database	140
search	420	3979195	database	1400
search	420	4056258	database	1400
search	420	4071040	database	1400
search	42	4789	database	140
search	42	4475	database	140
search	42	4401	database	140
search	42	4746	database	140
search	42	4613	database	140
search	420	4044665	database	1400
search	420	4073139	database	1400
search	420	4097290	database	1400
search	420	4359691	database	1400
search	420	4064347	database	1400
search	42	4779	database	140
search	42	4694	database	140
search	42	4631	database	140
search	42	4542	database	140
search	42	4284	database	140
search	420	4043685	database	1400
search	420	4140839	database	1400
search	420	3937064	database	1400
search	420	4013522	database	1400
search	420	4434191	database	1400
